abandon,əˈbændən
foul,ˈfaʊɫ
founder,ˈfaʊndɝ
fowl,ˈfaʊɫ
foxtrot,ˈfɑkstɹɑt
fracture,ˈfɹækʃɝ
frame,ˈfɹeɪm
franchise,ˈfɹænˌtʃaɪz
frank,ˈfɹæŋk
frap,ˈfɹæp
fraternize,ˈfɹætɝˌnaɪz
fray,ˈfɹeɪ
frazzle,ˈfɹæzəɫ
freckle,ˈfɹɛkəɫ
free,ˈfɹi
freelance,ˈfɹiˌɫæns
freeze,ˈfɹiz
freight,ˈfɹeɪt
frequent,ˈfɹiˌkwɛnt
fresco,ˈfɹɛskoʊ
freshen,ˈfɹɛʃən
fret,ˈfɹɛt
frighten,ˈfɹaɪtən
fringe,ˈfɹɪndʒ
frisk,ˈfɹɪsk
fritter,ˈfɹɪtɝ
frizzle,ˈfɹɪzəɫ
frock,ˈfɹɑk
frog,ˈfɹɑɡ
frolic,ˈfɹɑɫɪk
front,ˈfɹənt
frost,ˈfɹɔst
froth,ˈfɹɔθ
frown,ˈfɹaʊn
fruit,ˈfɹut
fry,ˈfɹaɪ
fudge,ˈfədʒ
fuel,ˈfjuəɫ
full,ˈfʊɫ
fullback,ˈfʊɫˌbæk
fulminate,ˈfʊɫməˌneɪt
fumble,ˈfəmbəɫ
fume,ˈfjum
fumigate,ˈfjuməˌɡeɪt
function,ˈfəŋkʃən
fund,ˈfənd
funnel,ˈfənəɫ
furlough,ˈfɝɫoʊ
furnish,ˈfɝnɪʃ
furrow,ˈfɝoʊ
fuse,ˈfjuz
fusillade,ˈfjusɪˌɫeɪd
fuss,ˈfəs
gag,ˈɡæɡ
gaggle,ˈɡæɡəɫ
gain,ˈɡeɪn
gall,ˈɡɔɫ
gallop,ˈɡæɫəp
galvanize,ˈɡæɫvəˌnaɪz
gamble,ˈɡæmbəɫ
gang,ˈɡæŋ
gap,ˈɡæp
gape,ˈɡeɪp
garage,ɡɝˈɑʒ
garden,ˈɡɑɹdən
garland,ˈɡɑɹɫənd
garner,ˈɡɑɹnɝ
garrison,ˈɡæɹɪsən
garter,ˈɡɑɹtɝ
gas,ˈɡæs
gasify,ˌɡæsəˌfaɪ
gate,ˈɡeɪt
gather,ˈɡæðɝ
gauge,ˈɡeɪdʒ
gaze,ˈɡeɪz
gazette,ɡəˈzɛt
gear,ˈɡɪɹ
gee,ˈdʒi
gel,ˈdʒɛɫ
geminate,ˈdʒɛməˌneɪt
general,ˈdʒɛnɝəɫ
generalize,ˈdʒɛnɝəˌɫaɪz
generate,ˈdʒɛnɝˌeɪt
gentle,ˈdʒɛnəɫ
germinate,ˈdʒɝməˌneɪt
gerrymander,ˈdʒɛɹiˌmændɝ
gestate,ˈdʒɛsˌteɪt
get,ˈɡɛt
geyser,ˈɡaɪzɝ
ghettoize,ˈɡɛtoʊˌaɪz
ghost,ˈɡoʊst
giggle,ˈɡɪɡəɫ
gild,ˈɡɪɫd
gin,ˈdʒɪn
ginger,ˈdʒɪndʒɝ
gird,ˈɡɝd
girdle,ˈɡɝdəɫ
girth,ˈɡɝθ
give,ˈɡɪv
glaciate,ˈɡɫeɪsiˌeɪt
gladden,ˈɡɫædən
glamorize,ˈɡɫæmɝˌaɪz
glance,ˈɡɫæns
glare,ˈɡɫɛɹ
glass,ˈɡɫæs
glaze,ˈɡɫeɪz
gleam,ˈɡɫim
glide,ˈɡɫaɪd
glimpse,ˈɡɫɪmps
glitter,ˈɡɫɪtɝ
gloat,ˈɡɫoʊt
globalize,ˈɡɫoʊbəˌɫaɪz
glorify,ˈɡɫɔɹəˌfaɪ
glory,ˈɡɫɔɹi
gloss,ˈɡɫɔs
glow,ˈɡɫoʊ
glower,ˈɡɫaʊɝ
glue,ˈɡɫu
gnarl,ˈnɑɹɫ
gnash,ˈnæʃ
gnaw,ˈnɔ
go,ˈɡoʊ
goad,ˈɡoʊd
gobble,ˈɡɑbəɫ
goggle,ˈɡɑɡəɫ
golf,ˈɡɑɫf
gong,ˈɡɔŋ
goose,ˈɡus
gore,ˈɡɔɹ
gorge,ˈɡɔɹdʒ
gouge,ˈɡaʊdʒ
govern,ˈɡəvɝn
gown,ˈɡaʊn
grab,ˈɡɹæb
gradate,ˈɡɹeɪdeɪt
grade,ˈɡɹeɪd
graduate,ˈɡɹædʒəˌweɪt
graft,ˈɡɹæft
grain,ˈɡɹeɪn
grandstand,ˈɡɹændˌstænd
grant,ˈɡɹænt
graph,ˈɡɹæf
grapple,ˈɡɹæpəɫ
grasp,ˈɡɹæsp
grass,ˈɡɹæs
grate,ˈɡɹeɪt
gratify,ˈɡɹætəˌfaɪ
gravel,ˈɡɹævəɫ
gravitate,ˈɡɹævɪˌteɪt
graze,ˈɡɹeɪz
grease,ˈɡɹis
green,ˈɡɹin
greet,ˈɡɹit
grey,ˈɡɹeɪ
grieve,ˈɡɹiv
grill,ˈɡɹɪɫ
grimace,ˈɡɹɪməs
grind,ˈɡɹaɪnd
grip,ˈɡɹɪp
gripe,ˈɡɹaɪp
grit,ˈɡɹɪt
grizzle,ˈɡɹɪzəɫ
groan,ˈɡɹoʊn
groom,ˈɡɹum
groove,ˈɡɹuv
grope,ˈɡɹoʊp
gross,ˈɡɹoʊs
grouch,ˈɡɹaʊtʃ
ground,ˈɡɹaʊnd
group,ˈɡɹup
grouse,ˈɡɹaʊs
grout,ˈɡɹaʊt
grow,ˈɡɹoʊ
grub,ˈɡɹəb
grudge,ˈɡɹədʒ
grumble,ˈɡɹəmbəɫ
guarantee,ˌɡɛɹənˈti
guard,ˈɡɑɹd
guess,ˈɡɛs
guesstimate,ˈɡɛstɪmeɪt
guffaw,ɡəˈfɔ
guide,ˈɡaɪd
guillotine,ˈɡijəˌtin
gull,ˈɡəɫ
gulp,ˈɡəɫp
gum,ˈɡəm
gun,ˈɡən
gurgle,ˈɡɝɡəɫ
gut,ˈɡət
gutter,ˈɡətɝ
guy,ˈɡaɪ
guzzle,ˈɡəzəɫ
gyrate,ˈdʒaɪˌɹeɪt
habit,ˈhæbət
hack,ˈhæk
haggle,ˈhæɡəɫ
hail,ˈheɪɫ
hallucinate,həˈɫusəneɪt
halt,ˈhɔɫt
halter,ˈhɔɫtɝ
halve,ˈhæv
hammer,ˈhæmɝ
hamper,ˈhæmpɝ
hamstring,ˈhæmˌstɹɪŋ
hand,ˈhænd
handcraft,ˈhændˌkɹæft
handicap,ˈhændiˌkæp
handle,ˈhændəɫ
hang,ˈhæŋ
hanker,ˈhæŋkɝ
happen,ˈhæpən
harangue,hɝˈæŋ
harass,hɝˈæs
harbor,ˈhɑɹbɝ
harden,ˈhɑɹdən
hare,ˈhɛɹ
hark,ˈhɑɹk
harlequin,ˈhɑɹɫəkwən
harm,ˈhɑɹm
harmonize,ˈhɑɹməˌnaɪz
harness,ˈhɑɹnəs
harp,ˈhɑɹp
harpoon,hɑɹˈpun
harrow,ˈhæɹoʊ
harry,ˈhɛɹi
harvest,ˈhɑɹvəst
hash,ˈhæʃ
hat,ˈhæt
hatch,ˈhætʃ
hate,ˈheɪt
haul,ˈhɔɫ
haunt,ˈhɔnt
have,ˈhæv
hawk,ˈhɔk
hay,ˈheɪ
haze,ˈheɪz
head,ˈhɛd
headline,ˈhɛdˌɫaɪn
heal,ˈhiɫ
heap,ˈhip
hear,ˈhiɹ
heat,ˈhit
heave,ˈhiv
heckle,ˈhɛkəɫ
hectograph,ˈhɛktəˌɡɹæf
hedge,ˈhɛdʒ
heed,ˈhid
heel,ˈhiɫ
heft,ˈhɛft
heighten,ˈhaɪtən
help,ˈhɛɫp
hem,ˈhɛm
henna,ˈhɛnə
herd,ˈhɝd
hesitate,ˈhɛzəˌteɪt
heterodyne,ˈhɛtɝəˌdaɪn
hew,ˈhju
hex,ˈhɛks
hibachi,həˈbɑtʃi
hibernate,ˈhaɪbɝˌneɪt
hiccup,ˈhɪkəp
hide,ˈhaɪd
hijack,ˈhaɪˌdʒæk
hike,ˈhaɪk
hill,ˈhɪɫ
hinge,ˈhɪndʒ
hint,ˈhɪnt
hire,ˈhaɪɝ
hiss,ˈhɪs
hit,ˈhɪt
hitch,ˈhɪtʃ
hitchhike,ˈhɪtʃˌhaɪk
hive,ˈhaɪv
hoard,ˈhɔɹd
hoax,ˈhoʊks
hob,ˈhɑb
hobble,ˈhɑbəɫ
hobnail,ˈhɑbˌneɪɫ
hobnob,ˈhɑbˌnɑb
hock,ˈhɑk
hoe,ˈhoʊ
hog,ˈhɑɡ
hoist,ˈhɔɪst
hold,ˈhoʊɫd
hole,ˈhoʊɫ
holler,ˈhɑɫɝ
hollo,ˈhɑˌɫoʊ
hollow,ˈhɑɫoʊ
home,ˈhoʊm
homer,ˈhoʊmɝ
homogenize,hoʊˈmɑdʒəˌnaɪz
hone,ˈhoʊn
honey,ˈhəni
honeycomb,ˈhəniˌkoʊm
honeymoon,ˈhəniˌmun
honk,ˈhɑŋk
honor,ˈɑnɝ
hood,ˈhʊd
hoof,ˈhuf
hook,ˈhʊk
hoop,ˈhup
hoot,ˈhut
hop,ˈhɑp
hope,ˈhoʊp
hopple,ˈhɑpəɫ
horn,ˈhɔɹn
horse,ˈhɔɹs
horseshoe,ˈhɔɹsˌʃu
hose,ˈhoʊz
hospitalize,ˈhɔˌspɪtəˌɫaɪz
host,ˈhoʊst
hound,ˈhaʊnd
house,ˈhaʊs
hover,ˈhəvɝ
howl,ˈhaʊɫ
huddle,ˈhədəɫ
hue,ˈhju
huff,ˈhəf
hug,ˈhəɡ
hull,ˈhəɫ
hum,ˈhəm
humanize,ˈhjuməˌnaɪz
humble,ˈhəmbəɫ
humbug,ˈhəmˌbəɡ
humiliate,hjuˈmɪɫiˌeɪt
humor,ˈhjumɝ
hunch,ˈhəntʃ
hunger,ˈhəŋɡɝ
hunt,ˈhənt
hurdle,ˈhɝdəɫ
hurl,ˈhɝɫ
hurrah,hʊˈɹɑ
hurt,ˈhɝt
hurtle,ˈhɝtəɫ
hush,ˈhəʃ
husk,ˈhəsk
hustle,ˈhəsəɫ
hydrate,ˈhaɪˌdɹeɪt
hydrogenate,ˈhaɪdɹədʒəˌneɪt
hydrolyze,ˈhaɪdɹəˌɫaɪz
hymn,ˈhɪm
hypertrophy,ˈhaɪpɝˌtɹoʊfi
hyphenate,ˈhaɪfəˌneɪt
hypnotize,ˈhɪpnəˌtaɪz
ice,ˈaɪs
idealize,aɪˈdiˌɫaɪz
identify,aɪˈdɛntəˌfaɪ
idle,ˈaɪdəɫ
idolize,ˈaɪdəˌɫaɪz
ignite,ˌɪɡˈnaɪt
ignore,ˌɪɡˈnɔɹ
illuminate,ˌɪˈɫumɪnɪt
illustrate,ˈɪɫəˌstɹeɪt
imagine,ˌɪˈmædʒən
imbibe,ɪmˈbaɪb
imbue,ˌɪmˈbju
imitate,ˈɪməˌteɪt
immerse,ˌɪˈmɝs
immigrate,ˈɪməˌɡɹeɪt
immobilize,ˌɪˈmoʊbəˌɫaɪz
immolate,ˈɪməˌɫeɪt
immortalize,ˌɪˈmɔɹtəɫaɪz
immunize,ˈɪmjuˌnaɪz
impact,ˈɪmpækt
impair,ˌɪmˈpɛɹ
impale,ˌɪmˈpeɪɫ
impart,ˌɪmˈpɑɹt
impeach,ˌɪmˈpitʃ
impede,ˌɪmˈpid
impel,ˌɪmˈpɛɫ
impend,ˌɪmˈpɛnd
impersonate,ˌɪmˈpɝsəˌneɪt
impinge,ˌɪmˈpɪndʒ
implant,ˈɪmˌpɫænt
implement,ˈɪmpɫəmənt
implicate,ˈɪmpɫɪˌkeɪt
implode,ˌɪmˈpɫoʊd
imply,ˌɪmˈpɫaɪ
import,ˈɪmˌpɔɹt
impound,ˌɪmˈpaʊnd
impoverish,ˌɪmˈpɑvɹɪʃ
impregnate,ˌɪmˈpɹɛɡˌneɪt
impress,ˈɪmˌpɹɛs
imprint,ˈɪmpɹɪnt
imprison,ˌɪmˈpɹɪzən
improvise,ˈɪmpɹəˌvaɪz
impugn,ˌɪmˈpjun
impute,ˌɪmˈpjut
inactivate,ˌɪˈnæktɪˌveɪt
inaugurate,ɪˈnɔɡjɝeɪt
incarnate,ˌɪnˈkɑɹˌneɪt
incinerate,ˌɪnˈsɪnɝˌeɪt
incise,ˌɪnˈsaɪz
incite,ˌɪnˈsaɪt
incline,ˈɪnkɫaɪn
include,ˌɪnˈkɫud
incorporate,ˌɪnˈkɔɹpɝˌeɪt
increase,ˈɪnˌkɹis
incriminate,ˌɪnˈkɹɪməˌneɪt
incubate,ˈɪnkjəˌbeɪt
inculcate,ˈɪŋkəɫˌkeɪt
incur,ˌɪnˈkɝ
indemnify,ˌɪnˈdɛmnəˌfaɪ
indent,ˌɪnˈdɛnt
indenture,ˌɪnˈdɛntʃɝ
index,ˈɪndɛks
indicate,ˈɪndəˌkeɪt
indict,ˌɪnˈdaɪt
individualize,ˌɪndɪˈvɪdʒəɫaɪz
indoctrinate,ɪnˈdɑktɹəˌneɪt
induce,ˌɪnˈdus
induct,ˌɪnˈdəkt
indulge,ˌɪnˈdəɫdʒ
industrialize,ˌɪnˈdəstɹiəˌɫaɪz
infatuate,ˌɪnˈfætʃuˌeɪt
infect,ˌɪnˈfɛkt
infest,ˌɪnˈfɛst
infiltrate,ˈɪnfɪɫˌtɹeɪt
inflame,ɪnˈfɫeɪm
inflate,ɪnˈfɫeɪt
inflict,ˌɪnˈfɫɪkt
influence,ˈɪnfɫuəns
inform,ˌɪnˈfɔɹm
infuriate,ˌɪnˈfjʊɹiˌeɪt
infuse,ˌɪnˈfjuz
ingratiate,ˌɪŋˈɡɹeɪʃiˌeɪt
inhabit,ˌɪnˈhæbət
inhale,ˌɪnˈheɪɫ
inherit,ˌɪnˈhɛɹət
inhibit,ˌɪnˈhɪbət
initial,ˌɪˈnɪʃəɫ
initialize,ˌɪˈnɪʃəˌɫaɪz
initiate,ˌɪˈnɪʃiˌeɪt
inject,ˌɪnˈdʒɛkt
injure,ˈɪndʒɝ
ink,ˈɪŋk
inlay,ˈɪnˌɫeɪ
inoculate,ˌɪˈnɑkjəˌɫeɪt
input,ˈɪnˌpʊt
inscribe,ˌɪnsˈkɹaɪb
inseminate,ˌɪnˈsɛməˌneɪt
insert,ˈɪnˌsɝt
inset,ˈɪnˌsɛt
insinuate,ˌɪnˈsɪnjueɪt
insist,ˌɪnˈsɪst
inspect,ˌɪnˈspɛkt
inspire,ˌɪnˈspaɪɹ
install,ˌɪnˈstɔɫ
instantiate,ˌɪnˈstænʃiˌeɪt
instill,ˌɪnˈstɪɫ
institute,ˈɪnstəˌtut
instruct,ˌɪnˈstɹəkt
instrument,ˈɪnstɹəmənt
insulate,ˈɪnsəˌɫeɪt
insure,ˌɪnˈʃʊɹ
integrate,ˈɪnəˌɡɹeɪt
intend,ˌɪnˈtɛnd
intensify,ɪnˈtɛnsəˌfaɪ
interact,ˌɪnɝˈækt
intercede,ˌɪntɝˈsid
intercept,ˌɪnɝˈsɛpt
interchange,ˌɪnɝˈtʃeɪndʒ
interconnect,ˌɪntɝkəˈnɛkt
interdict,ˈɪntɝˌdɪkt
interest,ˈɪntɝəst
interfere,ˌɪnɝˈfɪɹ
interject,ˌɪntɝˈdʒɛkt
interleave,ˌɪntɝˈɫiv
interlock,ˌɪntɝˈɫɑk
interlude,ˈɪntɝˌɫud
intermarry,ˌɪntɝˈmæɹi
intern,ˈɪntɝn
internalize,ˌɪnˈtɝnəˌɫaɪz
internationalize,ˌɪnɝˈnæʃənəˌɫaɪz
interpolate,ˌɪˈtɝpəˌɫeɪt
interpose,ˌɪntɝˈpoʊz
interpret,ˌɪnˈtɝpɹət
interrogate,ˌɪnˈtɛɹəˌɡeɪt
interrupt,ˌɪntɝˈəpt
intersect,ˌɪntɝˈsɛkt
intersperse,ˌɪntɝˈspɝs
intertwine,ˌɪntɝtˈwaɪn
intervene,ˌɪntɝˈvin
interview,ˈɪntɝvˌju
intimate,ˈɪnəmət
intimidate,ˌɪnˈtɪmɪˌdeɪt
intoxicate,ˌɪnˈtɑksəˌkeɪt
intrigue,ˈɪntɹiɡ
introduce,ˌɪntɹəˈdus
introspect,ˈɪntɹəˌspɛkt
introvert,ˈɪntɹoʊˌvɝt
intrude,ˌɪnˈtɹud
intuit,ˌɪnˈtuət
inundate,ˈɪnənˌdeɪt
inure,ˌɪnˈjʊɹ
invade,ˌɪnˈveɪd
invalid,ˈɪnvəɫəd
invalidate,ˌɪnˈvæɫɪˌdeɪt
invent,ˌɪnˈvɛnt
inventory,ˌɪnvənˈtɔɹi
invert,ˌɪnˈvɝt
invest,ˌɪnˈvɛst
investigate,ˌɪnˈvɛstəˌɡeɪt
invigorate,ˌɪnˈvɪɡɝɪt
invite,ˌɪnˈvaɪt
invoice,ˈɪnvɔɪs
invoke,ˌɪnˈvoʊk
involve,ˌɪnˈvɑɫv
ionize,ˈaɪəˌnaɪz
iron,ˈaɪɝn
irradiate,ˌɪˈɹeɪdiˌeɪt
irrigate,ˈɪɹəˌɡeɪt
isolate,ˈaɪsəˌɫeɪt
issue,ˈɪʃu
itch,ˈɪtʃ
itemize,ˈaɪtəˌmaɪz
jab,ˈdʒæb
jack,ˈdʒæk
jacket,ˈdʒækət
jackrabbit,ˈdʒæˌkɹæbət
jam,ˈdʒæm
japan,dʒəˈpæn
jar,ˈdʒɑɹ
jaundice,ˈdʒɔndəs
jaywalk,ˈdʒeɪˌwɔk
jazz,ˈdʒæz
jeer,ˈdʒɪɹ
jell,ˈdʒɛɫ
jerk,ˈdʒɝk
jet,ˈdʒɛt
jettison,ˈdʒɛtɪsən
jibe,ˈdʒaɪb
jiggle,ˈdʒɪɡəɫ
jilt,ˈdʒɪɫt
jingle,ˈdʒɪŋɡəɫ
jinx,ˈdʒɪŋks
jitterbug,ˈdʒɪtɝˌbəɡ
jive,ˈdʒaɪv
job,ˈdʒɑb
jockey,ˈdʒɑki
jog,ˈdʒɑɡ
join,ˈdʒɔɪn
joint,ˈdʒɔɪnt
joke,ˈdʒoʊk
jolt,ˈdʒoʊɫt
jostle,ˈdʒɑsəɫ
joust,ˈdʒaʊst
joyride,ˈdʒɔɪˌɹaɪd
judge,ˈdʒədʒ
jug,ˈdʒəɡ
juggle,ˈdʒəɡəɫ
jumble,ˈdʒəmbəɫ
jump,ˈdʒəmp
jumpstart,ˈdʒəmpˌstɑɹt
justify,ˈdʒəstəˌfaɪ
juxtapose,ˌdʒəkstəˈpoʊz
kayak,ˈkaɪæk
keep,ˈkip
kennel,ˈkɛnəɫ
kern,ˈkɝn
key,ˈki
keynote,ˈkiˌnoʊt
kick,ˈkɪk
kid,ˈkɪd
kidnap,ˈkɪdˌnæp
kill,ˈkɪɫ
kindle,ˈkɪndəɫ
kiss,ˈkɪs
kite,ˈkaɪt
kitten,ˈkɪtən
knead,ˈnid
kneecap,ˈniˌkæp
kneel,ˈniɫ
knell,ˈnɛɫ
knife,ˈnaɪf
knight,ˈnaɪt
knit,ˈnɪt
knock,ˈnɑk
knot,ˈnɑt
know,ˈnoʊ
knuckle,ˈnəkəɫ
label,ˈɫeɪbəɫ
labor,ˈɫeɪbɝ
lace,ˈɫeɪs
lacerate,ˈɫæsɝˌeɪt
lacquer,ˈɫækɝ
ladder,ˈɫædɝ
ladle,ˈɫeɪdəɫ
lag,ˈɫæɡ
lamb,ˈɫæm
lament,ɫəˈmɛnt
laminate,ˈɫæməˌneɪt
lance,ˈɫæns
land,ˈɫænd
landscape,ˈɫænˌskeɪp
languish,ˈɫæŋɡwɪʃ
lap,ˈɫæp
lapse,ˈɫæps
lard,ˈɫɑɹd
lash,ˈɫæʃ
lasso,ˈɫæsoʊ
last,ˈɫæs
latch,ˈɫætʃ
lather,ˈɫæðɝ
laud,ˈɫɔd
laugh,ˈɫæf
launch,ˈɫɔntʃ
launder,ˈɫɔndɝ
lave,ˈɫeɪv
lavish,ˈɫævɪʃ
lay,ˈɫeɪ
layer,ˈɫeɪɝ
leach,ˈɫitʃ
lead,ˈɫɛd
leaf,ˈɫif
league,ˈɫiɡ
leak,ˈɫik
lean,ˈɫin
leap,ˈɫip
leapfrog,ˈɫipˌfɹɔɡ
learn,ˈɫɝn
lease,ˈɫis
leather,ˈɫɛðɝ
leave,ˈɫiv
lecture,ˈɫɛktʃɝ
legalize,ˈɫiɡəˌɫaɪz
legislate,ˈɫɛdʒɪˌsɫeɪt
legitimate,ɫəˈdʒɪtəmət
lend,ˈɫɛnd
let,ˈɫɛt
letter,ˈɫɛtɝ
levant,ɫəˈvænt
level,ˈɫɛvəɫ
leverage,ˈɫɛvɝɪdʒ
levitate,ˈɫɛvɪˌteɪt
levy,ˈɫɛvi
libel,ˈɫaɪbəɫ
liberalize,ˈɫɪˌbɝəˌɫaɪz
liberate,ˈɫɪˌbɝˌeɪt
license,ˈɫaɪsəns
lick,ˈɫɪk
lie,ˈɫaɪ
lift,ˈɫɪft
light,ˈɫaɪt
lighten,ˈɫaɪtən
lighter,ˈɫaɪtɝ
like,ˈɫaɪk
lilt,ˈɫɪɫt
limber,ˈɫɪmbɝ
lime,ˈɫaɪm
limit,ˈɫɪmət
limp,ˈɫɪmp
line,ˈɫaɪn
linger,ˈɫɪŋɝ
lionize,ˈɫaɪəˌnaɪz
lipstick,ˈɫɪpˌstɪk
liquefy,ˈɫɪkwəˌfaɪ
liquidate,ˈɫɪkwɪˌdeɪt
lisp,ˈɫɪsp
list,ˈɫɪst
listen,ˈɫɪsən
lithograph,ˈɫɪθəˌɡɹæf
litigate,ˈɫɪtɪˌɡeɪt
litter,ˈɫɪtɝ
live,ˈɫaɪv
load,ˈɫoʊd
lob,ˈɫɑb
lobby,ˈɫɑbi
localize,ˈɫoʊkəˌɫaɪz
locate,ˈɫoʊˌkeɪt
lock,ˈɫɑk
lodge,ˈɫɑdʒ
loft,ˈɫɔft
log,ˈɫɔɡ
loiter,ˈɫɔɪtɝ
look,ˈɫʊk
loom,ˈɫum
loop,ˈɫup
loosen,ˈɫusən
loot,ˈɫut
lope,ˈɫoʊp
lord,ˈɫɔɹd
lose,ˈɫuz
lot,ˈɫɑt
louden,ˈɫaʊdən
lounge,ˈɫaʊndʒ
love,ˈɫəv
lower,ˈɫoʊɝ
lubricate,ˈɫubɹɪˌkeɪt
luff,ˈɫəf
lug,ˈɫəɡ
lull,ˈɫəɫ
lumber,ˈɫəmbɝ
lump,ˈɫəmp
lunch,ˈɫəntʃ
lunge,ˈɫəndʒ
lurch,ˈɫɝtʃ
lurk,ˈɫɝk
lynch,ˈɫɪntʃ
lyric,ˈɫɪɹɪk
machine,məˈʃin
macrame,ˈmækɹəˌmeɪ
madden,ˈmædən
madder,ˈmædɝ
madrigal,ˈmædɹəɡəɫ
magnify,ˈmæɡnəˌfaɪ
mail,ˈmeɪɫ
maim,ˈmeɪm
mainline,ˈmeɪnˌɫaɪn
maintain,meɪnˈteɪn
major,ˈmeɪdʒɝ
make,ˈmeɪk
malfunction,mæɫˈfəŋkʃən
malt,ˈmɔɫt
mambo,ˈmɑmboʊ
man,ˈmæn
manage,ˈmænədʒ
mandate,ˈmænˌdeɪt
maneuver,məˈnuvɝ
mangle,ˈmæŋɡəɫ
manhandle,ˈmænˌhændəɫ
manicure,ˈmænɪkjɝ
manifest,ˈmænəˌfɛst
manifold,ˈmænəˌfoʊɫd
manipulate,məˈnɪpjəˌɫeɪt
mantle,ˈmæntəɫ
manufacture,ˌmænjəˈfæktʃɝ
manure,məˈnʊɹ
map,ˈmæp
mar,ˈmɑɹ
maraud,mɝˈɔd
marble,ˈmɑɹbəɫ
marcel,mɑɹˈsɛɫ
march,ˈmɑɹtʃ
marginalize,ˈmɑɹdʒənəˌɫaɪz
marinade,ˈmɑɹɪˌneɪd
mark,ˈmɑɹk
market,ˈmɑɹkət
maroon,mɝˈun
marry,ˈmɛɹi
marshal,ˈmɑɹʃəɫ
martyr,ˈmɑɹtɝ
marvel,ˈmɑɹvəɫ
mask,ˈmæsk
masquerade,ˌmæskɝˈeɪd
mass,ˈmæs
massacre,ˈmæsəkɝ
massage,məˈsɑʒ
master,ˈmæstɝ
mastermind,ˈmæstɝˌmaɪnd
masturbate,ˈmæstɝˌbeɪt
match,ˈmætʃ
matriculate,məˈtɹɪkjəɫeɪt
mature,məˈtʃʊɹ
maul,ˈmɔɫ
maximize,ˈmæksəˌmaɪz
mean,ˈmin
measure,ˈmɛʒɝ
mechanize,ˈmɛkəˌnaɪz
meddle,ˈmɛdəɫ
mediate,ˈmidiˌeɪt
medicate,ˈmɛdɪˌkeɪt
meet,ˈmit
meld,ˈmɛɫd
mellow,ˈmɛɫoʊ
melt,ˈmɛɫt
memorialize,məˈmɔɹiəˌɫaɪz
memorize,ˈmɛmɝˌaɪz
menace,ˈmɛnəs
mend,ˈmɛnd
menstruate,ˈmɛnstɹuˌeɪt
mention,ˈmɛnʃən
mentor,ˈmɛnˌtɔɹ
meow,miˈaʊ
mesh,ˈmɛʃ
mess,ˈmɛs
message,ˈmɛsədʒ
metabolize,məˈtæbəˌɫaɪz
metal,ˈmɛtəɫ
metamorphose,ˌmɛtəˈmɔɹfoʊz
metastasize,məˈtæstəˌsaɪz
meter,ˈmitɝ
mew,ˈmju
microfilm,ˈmaɪkɹəˌfɪɫm
microwave,ˈmaɪkɹəˌweɪv
middle,ˈmɪdəɫ
migrate,ˈmaɪˌɡɹeɪt
militarize,ˈmɪɫətɝˌaɪz
militate,ˈmɪɫɪˌteɪt
milk,ˈmɪɫk
mill,ˈmɪɫ
mime,ˈmaɪm
mimeograph,ˈmɪmiəˌɡɹæf
mimic,ˈmɪmɪk
mince,ˈmɪns
mind,ˈmaɪnd
mine,ˈmaɪn
mineralize,ˈmɪnɝəˌɫaɪz
mingle,ˈmɪŋɡəɫ
miniaturize,ˈmɪnɪtʃɝˌaɪz
minimize,ˈmɪnəˌmaɪz
minister,ˈmɪnəstɝ
minstrel,ˈmɪnstɹəɫ
mint,ˈmɪnt
mire,ˈmaɪɝ
mirror,ˈmɪɹɝ
misapply,mɪsəˈpɫaɪ
misbehave,ˌmɪsbəˈheɪv
miscalculate,mɪˈskæɫkjəˌɫeɪt
miscast,mɪˈskæst
misconstrue,mɪskənˈstɹu
miscount,ˈmɪsˈkaʊnt
misdirect,mɪsdɪˈɹɛkt
misfire,mɪsˈfaɪɝ
misgive,mɪsˈɡɪv
misinform,mɪˌsɪnˈfɔɹm
misinterpret,mɪsɪnˈtɝpɹət
misjudge,mɪsˈdʒədʒ
mislead,mɪˈsɫid
mismanage,mɪsˈmænɪdʒ
mismatch,ˈmɪsˌmætʃ
misperceive,mɪspɝˈsiv
misplace,mɪsˈpɫeɪs
misprint,ˈmɪsˈpɹɪnt
mispronounce,mɪspɹəˈnaʊns
misquote,mɪsˈkwoʊt
misread,mɪsˈɹɛd
misremember,mɪsɹiˈmɛmbɝ
misrepresent,mɪsˌɹɛpɹəˈzɛnt
miss,ˈmɪs
misspell,mɪˈspɛɫ
misspend,mɪˈspɛnd
misstate,mɪˈsteɪt
mist,ˈmɪst
mistake,mɪˈsteɪk
mistreat,mɪˈstɹit
miter,ˈmaɪtɝ
mitigate,ˈmɪtəˌɡeɪt
mix,ˈmɪks
mobilize,ˈmoʊbəˌɫaɪz
mock,ˈmɑk
model,ˈmɑdəɫ
moderate,ˈmɑdɝˌeɪt
modernize,ˈmɑdɝˌnaɪz
modify,ˈmɑdəˌfaɪ
modulate,ˈmɔdʒjuɫeɪt
moisten,ˈmɔɪsən
mold,ˈmoʊɫd
molest,məˈɫɛst
mollify,ˈmɑɫəˌfaɪ
monetize,ˈmɑnəˌtaɪz
monitor,ˈmɑnətɝ
monopolize,məˈnɑpəˌɫaɪz
moo,ˈmu
moon,ˈmun
moonlight,ˈmunˌɫaɪt
moonshine,ˈmunˌʃaɪn
moor,ˈmʊɹ
mope,ˈmoʊp
